   ,Water depth,Env. condition,Mooring config,Direction,Misalignment,"Max A1, single"  ,"Max A2, single"  ,"Max A3, single"  ,Max shared mooring,Dir shared mooring,Max shared mooring 2 anchors,"Max A1,T1 shared","Max A2,T2 shared","Max A3,T3 shared",Sequence runs T2,Sequence runs T3
0  ,120        ,DLC1.6        ,catenary      ,0        ,-8          ,247332.90655886367,3212227.1878148713,2724295.089094983 ,2483503.827919446 ,157.71327828759888,3022450.3171509067          ,256196.74462748482,3097953.3225369346,2010400.5909909063,654132          ,435621
1  ,120        ,DLC1.6        ,catenary      ,0        ,0           ,243655.82238170097,3270110.7278739884,2742975.644630667 ,2679309.015575782 ,184.50935493562207,3101942.7266307776          ,263226.1572137802 ,2812621.2517414987,3055861.545742613 ,631524          ,642135
2  ,120        ,DLC1.6        ,catenary      ,0        ,8           ,241744.41773935742,2427688.8045865176,3260474.892216188 ,2680541.518795882 ,170.60948659964976,3129203.8740462908          ,320994.3985990445 ,3218126.8021039413,2713102.1794088157,462315          ,412365
3  ,120        ,DLC1.6        ,catenary      ,30       ,-8          ,473254.76262923767,3835180.3524646084,954521.5183224827 ,3171770.8046192518,123.3312190818703 ,3584726.7050823644          ,558097.8685572755 ,3830918.015265046 ,770915.2148600393 ,516234          ,614523
4  ,120        ,DLC1.6        ,catenary      ,30       ,0           ,376250.816373439  ,3665442.5267714574,1420396.9414288492,2840613.5950601613,125.61407208283109,3456226.8111346685          ,641133.5984480346 ,3628561.5740053384,962012.9156171406 ,541632          ,352614
5  ,120        ,DLC1.6        ,catenary      ,30       ,8           ,351790.1871280428 ,3581623.1895573162,1595555.5770196957,2849247.271380606 ,137.38604077127303,3410938.790888091           ,370312.92736313277,3580930.822406421 ,1353400.4010583893,215364          ,254631
6  ,120        ,DLC1.6        ,catenary      ,60       ,-8          ,636733.8375160177 ,4382888.286862325 ,644472.6244522007 ,3575193.2111925096,116.75000903468087,4079318.1430442114          ,929886.3211321204 ,4382308.020355056 ,695843.4102809363 ,345162          ,356214
7  ,120        ,DLC1.6        ,catenary      ,60       ,0           ,579626.1360552498 ,4531076.869985709 ,711590.2315365742 ,3740605.994294147 ,115.42667467796933,4251260.566474615           ,974579.1325430868 ,4531076.869985709 ,630181.9904506691 ,254361          ,436215
8  ,120        ,DLC1.6        ,catenary      ,60       ,8           ,533965.180067185  ,4727531.51072241  ,762490.9317982425 ,3901274.623691614 ,119.94328506291114,4374488.601833094           ,827374.1872117121 ,4726417.332003981 ,822915.05198905   ,634512          ,451263
9  ,120        ,SLC           ,catenary      ,0        ,-8          ,544244.340690144  ,1277287.0557317194,2763688.255336738 ,1727820.3835584028,229.8128327559757 ,2443003.2832407346          ,856709.7887054872 ,1209574.4326863452,2733723.8303174996,246315          ,462315
