,Jan
0,0.8260860443115234
1,0.7895138263702393
2,0.7615177631378174
3,0.7431821823120117
4,0.7429850101470947
5,0.7565886974334717
6,0.7625033855438232
7,0.7575745582580566
8,0.7446608543395996
9,0.7411119937896729
10,0.7644751071929932
11,0.8147497177124023
12,0.8602926731109619
13,0.8958792686462402
14,0.9624192714691162
15,0.9766144752502441
16,0.9833178520202637
17,0.9753329753875732
18,0.96419358253479
19,0.9577860832214355
20,0.9530544281005859
21,0.937873363494873
22,0.9471397399902344
23,0.9284098148345947
24,0.8942034244537354
25,0.858912467956543
26,0.872122049331665
27,0.8430414199829102
28,0.819185733795166
29,0.7979915142059326
30,0.7806417942047119
31,0.7689111232757568
32,0.766150712966919
33,0.7738399505615234
34,0.7908937931060791
35,0.8341696262359619
36,0.8972592353820801
37,0.9427037239074707
38,0.9470410346984863
39,0.9482240676879883
40,0.9311699867248535
41,0.898737907409668
42,0.8613770008087158
43,0.845505952835083
44,0.8545751571655273
45,0.8827683925628662
46,0.9317615032196045
47,0.9610390663146973
48,0.9533500671386719
49,0.9279170036315918
50,0.8866128921508789
51,0.8435344696044922
52,0.8003573417663574
53,0.7736427783966064
54,0.7749242782592773
55,0.8206644058227539
56,0.8615741729736328
57,0.858814001083374
58,0.7771916389465332
59,0.7153832912445068
60,0.6749663352966309
61,0.6524906158447266
62,0.6392812728881836
63,0.6779236793518066
64,0.779261589050293
65,0.9106659889221191
66,1.0014560222625732
67,1.0810084342956543
68,1.1666724681854248
69,1.3687570095062256
70,1.5995277166366577
71,1.9566751718521118
72,2.225595474243164
73,2.3492119312286377
74,2.3694205284118652
75,2.3889389038085938
76,2.330777883529663
77,2.2434380054473877
78,2.1553094387054443
79,2.0754613876342773
80,2.0062599182128906
81,1.9561822414398193
82,1.8896422386169434
83,1.8445920944213867
84,1.8245807886123657
85,1.8377902507781982
86,1.9309463500976562
87,1.9591395854949951
88,1.9668285846710205
89,1.9680116176605225
90,1.9627869129180908
91,1.941296935081482
92,1.8941768407821655
93,1.828819751739502
94,1.7613924741744995
95,1.6975140571594238
96,1.629692554473877
97,1.5778405666351318
98,1.541465401649475
99,1.641817569732666
100,1.6862761974334717
101,1.7902758121490479
102,1.8868820667266846
103,1.9486902952194214
104,1.9592381715774536
105,1.9874314069747925
106,2.148408889770508
107,2.2837562561035156
108,2.356999635696411
109,2.424722671508789
110,2.3269333839416504
111,2.438129186630249
112,2.46553373336792
113,2.3927834033966064
114,2.3014016151428223
115,2.238410472869873
116,2.2201735973358154
117,2.2499442100524902
118,2.316287040710449
119,2.396529197692871
120,2.479236125946045
121,2.4739129543304443
122,2.3289051055908203
123,2.1294820308685303
124,1.954999327659607
125,1.875742793083191
126,1.8117656707763672
127,1.761491060256958
128,1.7168352603912354
129,1.6784884929656982
130,1.596767544746399
131,1.5518159866333008
132,1.5207639932632446
133,1.5186939239501953
134,1.5377193689346313
135,1.5487600564956665
136,1.5374236106872559
137,1.5037100315093994
138,1.4631946086883545
139,1.4148914813995361
140,1.3533787727355957
141,1.282895803451538
142,1.2022590637207031
143,1.1262555122375488
144,1.0538995265960693
145,0.9861764907836914
146,0.9229881763458252
147,0.8678832054138184
148,0.818594217300415
149,0.7764029502868652
150,0.7410135269165039
151,0.7098629474639893
152,0.6845283508300781
153,0.6645171642303467
154,0.6480545997619629
155,0.6370139122009277
156,0.6269588470458984
157,0.6220300197601318
158,0.6267616748809814
159,0.660081148147583
160,0.7336201667785645
161,0.8256919384002686
162,0.9428021907806396
163,1.0887961387634277
164,1.2394230365753174
165,1.375558853149414
166,1.489219069480896
167,1.62949538230896
168,1.756266474723816
169,1.8436063528060913
170,1.8581959009170532
171,1.8504081964492798
172,1.8281296491622925
173,1.8195533752441406
174,1.8312841653823853
175,1.8752498626708984
176,1.946225881576538
177,2.016216278076172
178,2.050323963165283
179,2.079404354095459
180,2.120609998703003
181,2.2304258346557617
182,2.5657873153686523
183,2.8731532096862793
184,3.2684500217437744
185,3.6645357608795166
186,3.939370632171631
187,4.049876689910889
188,4.0495805740356445
189,3.9568190574645996
190,3.764198064804077
191,3.5557057857513428
192,3.3375532627105713
193,3.1206820011138916
194,2.9126827716827393
195,2.714442729949951
196,2.529412269592285
197,2.359562635421753
198,2.2035140991210938
199,2.0596890449523926
200,1.927890419960022
201,1.8077239990234375
202,1.6987955570220947
203,1.6003162860870361
204,1.5099204778671265
205,1.423073410987854
206,1.3458869457244873
207,1.2757980823516846
208,1.2149755954742432
209,1.164602279663086
210,1.1197495460510254
211,1.0809097290039062
212,1.045717477798462
213,1.0116095542907715
214,0.991302490234375
215,0.9693198204040527
216,0.9290013313293457
217,0.8772480487823486
218,0.8220443725585938
219,0.7716712951660156
220,0.7289869785308838
221,0.6985263824462891
222,0.6840355396270752
223,0.685218334197998
224,0.7044410705566406
225,0.7448580265045166
226,0.7649679183959961
227,0.8277618885040283
228,0.9365918636322021
229,1.0663201808929443
230,1.1678555011749268
231,1.2117226123809814
232,1.2902891635894775
233,1.3796991109848022
234,1.5064702033996582
235,1.6845017671585083
236,1.860167384147644
237,2.0099072456359863
238,2.0719127655029297
239,2.252211570739746
240,2.502401828765869
241,2.772209405899048
242,3.0016000270843506
243,3.2939817905426025
244,3.338144540786743
245,3.338046073913574
246,3.3496782779693604
247,3.352241277694702
248,3.3378489017486572
249,3.312810182571411
250,3.170167922973633
251,3.0570993423461914
252,2.969562292098999
253,2.8854753971099854
254,3.1364543437957764
255,3.08667254447937
256,3.0826308727264404
257,3.064985513687134
258,3.0264415740966797
259,2.9656190872192383
260,2.88853120803833
261,2.7898547649383545
262,2.6715614795684814
263,2.5657873153686523
264,2.4569575786590576
265,2.34704327583313
266,2.239790439605713
267,2.1411142349243164
268,2.053380012512207
269,1.9709689617156982
270,1.8915151357650757
271,1.814033031463623
272,1.7444370985031128
273,1.6898249387741089
274,1.6189475059509277
275,1.5543791055679321
276,1.4917821884155273
277,1.429283857345581
278,1.375854730606079
279,1.3301146030426025
280,1.2866415977478027
281,1.2463233470916748
282,1.2100467681884766
283,1.1751501560211182
284,1.1415350437164307
285,1.1099903583526611
286,1.0811069011688232
287,1.0545895099639893
288,1.0275793075561523
289,1.0015547275543213
290,0.9764173030853271
291,0.9525613784790039
292,0.9285085201263428
293,0.9042582511901855
294,0.8807969093322754
295,0.8578281402587891
296,0.8356482982635498
297,0.8144538402557373
298,0.7940483093261719
299,0.7778816223144531
300,0.7613205909729004
301,0.7479138374328613
302,0.7364788055419922
303,0.7294797897338867
304,0.7285926342010498
305,0.7343101501464844
306,0.7515614032745361
307,0.7812333106994629
308,0.8156368732452393
309,0.8610813617706299
310,0.8744878768920898
311,0.9207208156585693
312,1.004019021987915
313,1.1277341842651367
314,1.257955551147461
315,1.4215947389602661
316,1.5594065189361572
317,1.7177225351333618
318,1.9042316675186157
319,2.1115407943725586
320,2.3409314155578613
321,2.5818557739257812
322,2.6033456325531006
323,2.7506208419799805
324,3.0298917293548584
325,3.4555509090423584
326,4.229090690612793
327,4.760622501373291
328,5.206785678863525
329,5.57191801071167
330,5.8841142654418945
331,6.193450927734375
332,6.44600772857666
333,6.606492042541504
334,6.521222114562988
335,6.438121318817139
336,6.375721454620361
337,6.276946544647217
338,6.2125749588012695
339,6.144457817077637
340,6.145936965942383
341,6.1469221115112305
342,6.053963661193848
343,5.928178310394287
344,5.792929649353027
345,5.586211681365967
346,5.28012752532959
347,5.090858459472656
348,4.949004650115967
349,4.759932518005371
350,4.633851528167725
351,4.467452049255371
352,4.32490873336792
353,4.205432415008545
354,4.105474472045898
355,4.014289855957031
356,3.9246826171875
357,3.8370471000671387
358,3.724668264389038
359,3.6118953227996826
360,3.4835469722747803
361,3.3449466228485107
362,3.2034873962402344
363,3.0705058574676514
364,2.955859899520874
365,2.8565919399261475
366,2.772406578063965
367,2.6853623390197754
368,2.583235740661621
369,2.4739129543304443
370,2.36044979095459
371,2.2715325355529785
372,2.1917831897735596
373,2.1152868270874023
374,2.038001775741577
375,1.960026741027832
376,1.8991056680679321
377,1.8436063528060913
378,1.7816009521484375
379,1.723341464996338
380,1.6705037355422974
381,1.6194404363632202
382,1.5663069486618042
383,1.5239185094833374
384,1.504005789756775
385,1.4981896877288818
386,1.4861632585525513
387,1.5723202228546143
388,1.5322976112365723
389,1.4828115701675415
390,1.428100824356079
391,1.3684613704681396
392,1.3146378993988037
393,1.2677147388458252
394,1.2228617668151855
395,1.190331220626831
396,1.1666724681854248
397,1.1564204692840576
398,1.2903876304626465
399,1.2751080989837646
400,1.2530267238616943
401,1.2262134552001953
402,1.2239460945129395
403,1.2658417224884033
404,1.3676726818084717
405,1.5332833528518677
406,1.6054424047470093
407,1.6801643371582031
408,1.766518473625183
409,1.8511968851089478
410,1.9550979137420654
411,2.039283275604248
412,2.081967353820801
413,2.0980358123779297
414,2.103753089904785
415,2.0844321250915527
416,2.0620546340942383
417,2.0485496520996094
418,1.9194127321243286
419,1.8705180883407593
420,1.880375862121582
421,1.9442542791366577
422,2.0761513710021973
423,2.183009624481201
424,2.279615879058838
425,2.333538055419922
426,2.3611397743225098
427,2.386770248413086
428,2.410428762435913
429,2.4318201541900635
430,2.356703758239746
431,2.358478307723999
432,2.373166561126709
433,2.3673503398895264
434,2.3213143348693848
435,2.267885208129883
436,2.250732898712158
437,2.2876994609832764
438,2.329989433288574
439,2.3519721031188965
440,2.345268726348877
441,2.306527853012085
442,2.2028238773345947
443,2.1154839992523193
444,2.0356359481811523
445,1.9678144454956055
446,1.9219757318496704
447,1.8917123079299927
448,1.8750526905059814
449,1.8525769710540771
450,1.8048652410507202
451,1.7457185983657837
452,1.6863747835159302
453,1.6337342262268066
454,1.6141172647476196
455,1.6271294355392456
456,1.6634061336517334
457,1.7017529010772705
458,1.748577356338501
459,1.8388745784759521
460,1.914089560508728
461,2.0167088508605957
462,2.1262288093566895
463,2.1832070350646973
464,2.1905016899108887
465,2.157675266265869
466,2.106809139251709
467,2.066490650177002
468,2.080390453338623
469,2.1389455795288086
470,2.2074570655822754
471,2.2167234420776367
472,2.198289394378662
473,2.183897018432617
474,2.175320625305176
475,2.1557037830352783
476,2.116666793823242
477,2.053084373474121
478,1.9019644260406494
479,1.780516505241394
480,1.6518725156784058
481,1.5409724712371826
482,1.528551697731018
483,1.4520553350448608
484,1.4130184650421143
485,1.3876839876174927
