,Dec
0,1.1320717334747314
1,1.1555333137512207
2,1.1677567958831787
3,1.190232515335083
4,1.2021605968475342
5,1.2137928009033203
6,1.230057954788208
7,1.2516465187072754
8,1.2795441150665283
9,1.322819709777832
10,1.3767417669296265
11,1.4555054903030396
12,1.5654197931289673
13,1.7031329870224
14,1.879883050918579
15,1.966434359550476
16,2.0566329956054688
17,2.157773971557617
18,2.275968551635742
19,2.409640312194824
20,2.55987286567688
21,2.7270607948303223
22,2.7866017818450928
23,2.800107002258301
24,2.7659990787506104
25,2.7100067138671875
26,2.6983747482299805
27,2.637946367263794
28,2.5801796913146973
29,2.517878532409668
30,2.4482827186584473
31,2.3815455436706543
32,2.3272290229797363
33,2.2833619117736816
34,2.2439308166503906
35,2.199965000152588
36,2.160238265991211
37,2.134608030319214
38,2.0906424522399902
39,2.0874879360198975
40,2.0977399349212646
41,2.0985286235809326
42,2.0996129512786865
43,2.1097664833068848
44,2.1245532035827637
45,2.1289892196655273
46,2.1620125770568848
47,2.189023017883301
48,2.1960220336914062
49,2.1894173622131348
50,2.172856330871582
51,2.156985282897949
52,2.1563937664031982
53,2.1773908138275146
54,2.2220466136932373
55,2.2714340686798096
56,2.3104710578918457
57,2.3357067108154297
58,2.3788838386535645
59,2.4084572792053223
60,2.427680015563965
61,2.4225540161132812
62,2.3895301818847656
63,2.317371368408203
64,2.2221450805664062
65,2.1277074813842773
66,2.056731700897217
67,2.0048797130584717
68,1.9572665691375732
69,1.9052175283432007
70,1.8343400955200195
71,1.7592236995697021
72,1.6793757677078247
73,1.609286904335022
74,1.5528018474578857
75,1.5185953378677368
76,1.4573785066604614
77,1.3951759338378906
78,1.338395118713379
79,1.2886133193969727
80,1.24464750289917
81,1.204723596572876
82,1.1671652793884277
83,1.1338460445404053
84,1.1029913425445557
85,1.0740094184875488
86,1.058236837387085
87,1.0303394794464111
88,1.004610538482666
89,0.9818391799926758
90,0.9631092548370361
91,0.9466466903686523
92,0.9361975193023682
93,0.9313671588897705
94,0.9436895847320557
95,0.9589691162109375
96,0.9841063022613525
97,1.0294520854949951
98,1.0799241065979004
99,1.2667288780212402
100,1.2944293022155762
101,1.2898948192596436
102,1.2673203945159912
103,1.2543082237243652
104,1.2759952545166016
105,1.337606430053711
106,1.4136099815368652
107,1.4851773977279663
108,1.5353535413742065
109,1.5680813789367676
110,1.7140750885009766
111,1.68105149269104
112,1.6568999290466309
113,1.6446763277053833
114,1.634522795677185
115,1.6240736246109009
116,1.6212148666381836
117,1.6318612098693848
118,1.6568013429641724
119,1.689134955406189
120,1.72186279296875
121,1.7523232698440552
122,1.7768691778182983
123,1.793824553489685
124,1.8028937578201294
125,1.8053581714630127
126,1.8039780855178833
127,1.802400827407837
128,1.8051609992980957
129,1.815314531326294
130,1.8206377029418945
131,1.8234964609146118
132,1.8113714456558228
133,1.7891913652420044
134,1.7676029205322266
135,1.7475916147232056
136,1.7315233945846558
137,1.713976502418518
138,1.6863747835159302
139,1.648520827293396
140,1.6016963720321655
141,1.5529004335403442
142,1.5145536661148071
143,1.4780797958374023
144,1.448506474494934
145,1.4494922161102295
146,1.5006541013717651
147,1.575080394744873
148,1.7273831367492676
149,1.8401561975479126
150,1.813835859298706
151,1.742169737815857
152,1.6774041652679443
153,1.6304811239242554
154,1.5536890029907227
155,1.481431484222412
156,1.4545197486877441
157,1.4874447584152222
158,1.5521117448806763
159,1.6730667352676392
160,1.802400827407837
