,May
0,0.9857821464538574
1,1.0247204303741455
2,1.0656301975250244
3,1.0926406383514404
4,1.098653793334961
5,1.0867259502410889
6,1.0670104026794434
7,1.044731855392456
8,1.0255091190338135
9,1.0269877910614014
10,1.0370426177978516
11,1.0777552127838135
12,1.1397607326507568
13,1.2066950798034668
14,1.2879230976104736
15,1.4269179105758667
16,1.6233835220336914
17,1.841634750366211
18,2.027848243713379
19,2.1793622970581055
20,2.31756854057312
21,2.439706325531006
22,2.427975654602051
23,2.505950689315796
24,2.6607179641723633
25,2.8434810638427734
26,3.0286102294921875
27,3.206050395965576
28,3.2707173824310303
29,3.2782094478607178
30,3.2162039279937744
31,3.099783420562744
32,2.9461007118225098
33,2.7637317180633545
34,2.47756028175354
35,2.2334816455841064
36,2.0188777446746826
37,1.8320727348327637
38,1.641817569732666
39,1.502527117729187
40,1.377234697341919
41,1.26939058303833
42,1.1853036880493164
43,1.1204395294189453
44,1.069671869277954
45,1.031522274017334
46,1.0100324153900146
47,1.0091452598571777
48,1.0303394794464111
49,1.0681931972503662
50,1.1071314811706543
51,1.151787281036377
52,1.191119909286499
53,1.216552972793579
54,1.2256219387054443
55,1.2356770038604736
56,1.2645602226257324
57,1.3128633499145508
58,1.337803602218628
59,1.350815773010254
60,1.3470699787139893
61,1.324692726135254
62,1.3469712734222412
63,1.2910776138305664
64,1.2349870204925537
65,1.189148187637329
66,1.1553361415863037
67,1.1316773891448975
68,1.1176793575286865
69,1.109694480895996
70,1.0938234329223633
71,1.0923447608947754
72,1.1043713092803955
73,1.1226081848144531
74,1.151688575744629
75,1.1844165325164795
76,1.2132012844085693
77,1.229762315750122
78,1.2385356426239014
79,1.2409017086029053
80,1.2394230365753174
81,1.2508580684661865
82,1.2487878799438477
83,1.2672219276428223
84,1.2807271480560303
85,1.2754037380218506
86,1.2464220523834229
87,1.2075822353363037
88,1.1707141399383545
89,1.137296199798584
90,1.1083145141601562
91,1.0821912288665771
92,1.0558710098266602
93,1.0243260860443115
94,0.99228835105896
95,0.9602506160736084
96,0.9307758808135986
97,0.9059340953826904
98,0.8830640316009521
99,0.8824727535247803
100,0.8526036739349365
101,0.8243117332458496
102,0.7980899810791016
103,0.7728540897369385
104,0.7477166652679443
105,0.7232694625854492
106,0.6976392269134521
107,0.6772336959838867
108,0.6585037708282471
109,0.6394784450531006
110,0.6227200031280518
111,0.6035959720611572
112,0.5855562686920166
113,0.5688965320587158
114,0.554011344909668
115,0.5397176742553711
116,0.526310920715332
117,0.513397216796875
118,0.500483512878418
119,0.4896399974822998
120,0.47771215438842773
121,0.4646012783050537
122,0.45188474655151367
123,0.43857669830322266
124,0.4269444942474365
125,0.4157066345214844
126,0.4045674800872803
127,0.3957939147949219
128,0.3915550708770752
129,0.3884005546569824
130,0.3671078681945801
131,0.37065672874450684
132,0.38327455520629883
133,0.39806127548217773
134,0.4185655117034912
135,0.4354221820831299
136,0.44951891899108887
137,0.4630241394042969
138,0.4675586223602295
139,0.46450281143188477
140,0.46272826194763184
141,0.4656856060028076
142,0.47130465507507324
143,0.47840213775634766
144,0.4956533908843994
145,0.5308456420898438
146,0.5745155811309814
147,0.6239030361175537
148,0.6641228199005127
149,0.6942875385284424
150,0.7213964462280273
151,0.7604331970214844
152,0.8091306686401367
153,0.8669960498809814
154,0.8301277160644531
155,0.8303248882293701
156,0.832888126373291
157,0.8473789691925049
158,0.8819797039031982
159,0.9101729393005371
160,0.9217066764831543
161,0.9186506271362305
162,0.9070184230804443
163,0.8908517360687256
164,0.8736991882324219
165,0.859306812286377
166,0.792569637298584
167,0.7597432136535645
168,0.7729527950286865
169,0.8283534049987793
170,0.9193408489227295
171,0.9877538681030273
172,1.0010616779327393
173,1.0262975692749023
174,1.084458589553833
175,1.1058499813079834
176,1.0919504165649414
177,1.057448387145996
178,1.0113139152526855
