,Oct
0,9.28947292686051
1,8.76797052904335
2,8.369021219167246
3,8.302159762963228
4,8.350148936458302
5,8.296449160906473
6,8.306938646930831
7,8.6462317711698
8,8.870666451156342
9,9.022655058998318
10,9.419752939532863
11,9.30208588013393
12,9.022983892014965
13,8.572476288437624
14,8.04218234998984
15,7.73009396547296
16,7.709422168413767
17,8.139637918911065
18,8.428189357487032
19,8.312247203896547
20,8.238765085508847
21,7.641071486962795
22,6.855075386321218
23,6.682261888082897
24,7.735500351542367
25,9.662573557646308
26,10.054254436131764
27,9.1456655105369
28,7.948442367776703
29,6.502265303302901
30,5.250998288361916
31,4.454304565405409
32,3.4071042948129175
33,2.3138731585560905
34,0.7016012594857117
35,1.503310912995802
36,3.1467779381733436
37,4.976663163938483
38,6.815208473933349
39,8.101313425491751
40,8.378084010596424
41,7.9790657400840255
42,7.405688162309808
43,6.843626087573045
44,6.486753862802859
45,6.244485240093538
46,5.691528422749154
47,5.93253007537891
48,6.17726576026124
49,5.924390157012238
50,5.20816569424302
51,4.7523401126982225
52,4.479259247043082
53,4.38366515887234
54,4.98006744065384
55,6.083374729378625
56,7.0988841790807635
57,7.721479548928566
58,8.69432269883274
59,10.14426054702127
60,11.214728263357413
61,12.068246423980412
62,12.477596918901366
63,12.800949517122197
64,13.191228989386001
65,13.640514656405983
66,13.989845181543304
67,14.094927612810505
68,14.400227441671168
69,14.457649257354815
70,13.093750114044575
71,13.83111229479539
72,14.450717246585521
73,15.07160300463054
74,15.714115819507771
75,16.068244172543984
76,16.38097011343271
77,16.67258592956602
78,16.929278888448092
79,17.062390248653607
80,17.08802373983831
81,17.085897085731855
82,15.37568020790354
83,15.312867386245
84,14.958621273079363
85,14.89053032744962
86,15.068175776618645
87,15.117325827809486
88,15.27762787937672
89,15.414756730150987
90,15.379712092903812
91,15.15789384109897
92,15.24545160871946
93,15.445367108080944
94,14.59299100033246
95,14.994069741320201
96,15.136445174742635
97,15.398097937162127
98,15.712705705655859
99,16.363848808629047
100,16.425339760970196
101,16.352019633658568
102,16.893903020058445
103,17.68131713415069
104,18.57155633952705
105,18.73761806015684
106,17.522679065722386
107,18.093969976401176
108,18.44500429453196
109,18.221811478285904
110,18.278998971518075
111,18.562279139678882
112,18.883635330695476
113,18.37296061889936
114,18.08529504637535
115,17.70412063470203
116,17.035807728085995
117,16.23255322442175
118,14.74922393180566
119,14.726124789518998
120,14.316875123944287
121,14.368732385666181
122,14.237686638590432
123,13.789769399026202
124,13.571018192104809
125,13.442462643030279
126,13.458770881084245
127,13.691622778006336
128,13.900371476447885
129,13.723823537854521
130,13.28356529875035
131,13.126077891083161
132,12.545022418402691
133,12.097697587311638
134,11.513400535462942
135,10.907806654012028
136,10.416423324751412
137,9.972870397838125
138,9.680612082418136
139,9.2971381412627
140,8.889945419353515
141,8.496671522007706
142,7.79291845058662
143,7.47533505930772
144,7.019035156777058
145,6.6093193663938745
146,6.30584021202758
147,5.992695025358211
148,5.9591671470166885
149,5.952294935129808
150,5.88174378249759
151,5.832569612605657
152,5.841328736741321
153,5.796277079107986
154,5.577234854805377
155,5.679775290796875
156,5.667140063331976
157,5.560635329471845
158,5.4628434061682904
159,5.2666782205936755
160,5.004178870748194
161,4.83877169099207
162,4.876256375165286
163,4.908068410577703
164,5.144862122529955
165,5.303774490912111
166,4.907261920018001
167,5.438953848604686
168,6.025348524617179
169,6.3908945046542796
170,6.4876625608260845
171,6.488450165640965
172,6.5056412845617855
173,6.904826040893037
174,7.557623466645947
175,8.070055791405851
176,8.350347842918218
177,8.616847206596482
178,8.165766186198093
179,8.642992109372798
180,8.647579841695789
181,8.647551028122537
182,8.722393320053149
183,8.659930893259013
184,8.620030760214547
185,8.498503708248979
186,8.316576961524756
187,8.285443744185129
188,8.275097046248092
189,8.169132062167463
190,6.81057385446281
191,7.055839505505823
192,7.119325743985413
193,6.988831028172161
194,6.765810041780145
195,6.642471283754168
196,6.9240516315699665
197,7.3519494458702885
198,7.281941334969041
199,7.046968650438778
200,7.016699307774692
201,6.985367181290484
202,6.837523447974737
203,6.618163115949763
204,6.58489029138762
205,6.67331875032847
206,6.4289928795781375
207,5.970028437692271
208,5.5844124320878015
209,5.42917675420972
210,5.701757174411869
211,6.494666396772903
212,7.35505779653496
213,7.5234968459584355
214,7.2016041342596235
215,7.479142821404093
216,8.209458676513295
217,9.422218516979445
218,10.653978448146619
219,11.367776465014458
220,11.899548615879459
221,12.690477197533268
222,13.437441289295013
223,13.846729798651426
224,13.763748373105233
225,13.687605875189554
226,12.5980477651926
227,13.6830514959584
228,14.47176971398156
229,14.885601029968356
230,14.912989392622785
231,14.676447208343067
232,14.595553985489575
233,14.362989110437471
234,14.159469364372736
235,14.037400621715118
236,14.31579573880229
237,14.748212954030366
238,13.58513530548628
239,14.288286406787886
240,14.15115143287403
241,14.13014852328282
242,14.133175616813789
243,14.029728208812648
244,14.098591057348198
245,14.539257306219303
246,15.221856009150285
247,15.369068658502771
248,15.11023096183478
249,14.905761725340403
250,14.608187005732809
251,15.277394104051757
252,15.54656382979056
253,15.252918949506737
254,15.121248342067215
255,14.714819029925055
256,14.360090542361624
257,14.06433788188988
258,13.901322603472343
259,14.305406341021861
260,14.20471046924749
261,14.104592113204324
262,12.812177238835252
263,13.082816364699188
264,13.168576127340973
265,12.262158645908242
266,11.644066921257686
267,11.852659607904949
268,12.206686667182444
269,12.043386656721744
270,12.126138197454337
271,12.648451335661818
272,12.415719482459856
273,12.634428100021417
274,10.673922402596228
275,12.419898327190545
