,Dec
0,12.244051000184665
1,12.726362145293297
2,12.387304247988553
3,13.44720789898207
4,14.604962750083075
5,15.28016205469105
6,15.857728055711187
7,16.169821010451034
8,16.328689164079094
9,15.868349318080439
10,14.167638935452825
11,14.018367065487507
12,13.893888621495142
13,14.075980645269906
14,14.19225329272418
15,14.479374358213633
16,14.525332985252632
17,14.599018874720397
18,14.964056623022726
19,14.978947648229003
20,14.446302338494595
21,13.91354702791027
22,10.787290320777554
23,11.204900153737416
24,10.803656797293932
25,10.804688998031668
26,11.126879590206858
27,11.488693852896002
28,11.608224236280877
29,11.878226268539663
30,12.029220655492503
31,11.695656812032826
32,11.473071915232484
33,11.661192003345146
34,11.158924105901741
35,11.422375558144386
36,10.889992392486361
37,10.707352309650357
38,10.155092406183735
39,9.78455563699179
40,9.361613313620671
41,9.267358183279846
42,9.933033070682852
43,11.28052604753279
44,12.616720803919229
45,13.329041918257454
46,12.524564613988595
47,12.49596433078563
48,12.15526605628487
49,12.242898268829448
50,12.582090302517907
51,12.67930671344189
52,13.150473599360737
53,13.0063688229315
54,12.78192374125897
55,12.62907814967836
56,11.903558036196477
57,13.58786372239567
58,14.62173611980267
59,14.23260218287006
60,13.803459439977079
61,12.947823642067847
62,12.187730969179182
63,11.153332903926326
64,9.947332985525092
65,9.42038264075235
66,9.14630423258457
67,8.822824647201715
68,8.168441617253531
69,8.104026183605555
70,5.6969672299706025
71,6.409478742373402
72,7.380432834048992
73,7.285171034950654
74,7.604912501947591
75,7.914398307519234
76,7.9710508512653435
77,7.974895890346003
78,7.762167812962295
79,7.53909636965171
80,7.972507134576419
81,9.026046222603561
82,8.086201440886816
83,9.151748652545448
84,10.095977337347591
85,10.954261368737326
86,11.458993878165655
87,11.724111574733717
88,11.691886482073468
89,11.49552813650275
90,10.989265802474808
91,11.003314914989472
92,11.091943037892186
93,11.403049516861326
94,10.689259591736988
95,12.208914509424732
96,13.611845514068317
97,14.124085578507477
98,13.980993991615597
99,13.533405993186944
100,12.800011170513828
101,12.55987990015981
102,12.60026947365429
103,12.1997438296586
104,11.724686340872163
105,11.63832075598135
106,9.725734232351218
107,11.156100109746983
108,13.269137758297914
109,13.778900821229763
110,13.913441513771666
111,14.14147903542311
112,14.208993041921088
113,14.122115100080073
114,13.88936048081878
115,13.79032326285397
116,14.110385537709925
117,14.195005765669656
118,13.532734440722708
119,13.56910481734892
120,13.079431626773195
121,11.996932876608023
122,12.475529541905146
123,13.283388133293561
124,13.601728035723985
125,14.171758666966731
126,14.227563020238305
127,13.414111413964307
128,13.039321564309002
129,12.690896943376643
130,10.663019650755157
131,10.430530565810122
132,10.325687751059522
133,10.13026446086282
134,10.602058574730224
135,10.39606145456051
136,9.865512578859288
137,9.466923379849431
138,9.042666873053932
139,8.824890930886248
140,8.250896019562921
141,8.04778720863942
142,6.283926349208821
143,5.722555372380535
144,5.485423197660429
145,5.109613422670919
146,4.449068514735864
147,3.5685948335323885
148,3.4620234967414936
149,4.095379473093252
150,3.9762624178453136
151,3.2843163985069928
152,3.1973426076686313
153,3.2894222520657523
154,2.7291939835326327
155,2.671554605932631
156,2.782322526714421
157,2.8610930816804543
158,2.8440979765467764
159,2.29355548425692
160,2.174116001179888
161,2.3516596112700126
162,3.6112684521210645
163,4.675780755894768
164,3.9272025614318107
165,3.0017982809802883
166,3.9792456542237407
167,6.806735452409077
168,8.435455838588867
169,8.512241284558405
170,7.379935521620749
171,6.541712484460073
172,7.358488954709171
173,8.256279150557603
174,8.78470197454078
175,9.088650424547367
176,9.363531258822329
177,9.64470883259049
178,10.264820085343553
179,10.250750744340476
180,10.163757338461085
181,10.224267480870799
182,10.078176142521707
183,9.916537047296298
184,9.598033651647883
185,9.276272876108758
186,9.217722850321096
187,9.198711568529442
188,8.338305900633348
189,8.453629760564633
190,8.553213369947875
191,8.075749336641936
192,8.143349771903972
193,8.26860053274199
194,8.367780566443818
195,8.21147131242176
196,7.8556968634487285
197,8.023675549931264
198,8.863912758477511
199,9.423596130196294
200,8.885972156215376
201,8.455437290451846
202,7.811948164169148
203,7.687148320148159
204,7.226660261507047
205,6.548443270829864
206,5.924697906140245
207,5.714699397874307
208,5.321605067453321
209,4.924999694944112
210,5.607457816941642
211,6.549140853027494
212,7.4969453581829
213,7.360412998016008
214,6.825842522485427
215,6.763859959915749
216,6.6158383938905265
217,6.205735726695397
218,5.686534112892171
219,6.14370991742983
220,6.329460016680811
221,6.915823815771611
222,7.709763880385967
223,7.460413258037515
224,7.458251630750819
225,8.10411559521896
226,8.472868966584644
227,8.78312054434391
228,10.111241950173493
229,11.022408850985547
230,9.386398715977219
231,8.841030797910431
232,9.576669059087614
233,9.682052180834404
234,8.381908019409867
235,7.707862402490633
236,7.6632968043532435
237,7.9759245999373585
238,6.333161789647936
239,7.253591971625156
240,7.886671599861321
241,9.093272042347635
242,9.518411830026984
243,8.987307421933501
244,8.380492787360302
245,7.9890288847818915
246,7.700313377409194
247,7.967301365492212
248,8.455297233612635
249,9.30431327262514
250,8.24899987043519
251,8.579057984492186
252,8.50696166305096
253,8.124887658070682
254,7.1552899236681125
255,6.746710838894574
256,6.522503173602034
257,5.7757000505708245
258,5.970127499086555
259,6.1701728175845565
260,6.49177669761369
261,6.846139794887529
262,8.843804530985297
263,11.254068634663492
264,12.422099000688497
265,12.516767556065941
266,12.3509275438068
267,12.145023622859147
268,11.782670141482795
269,10.762846759569499
270,10.260521604905493
271,9.861136739328993
272,10.128518071751007
273,10.687167875105244
274,10.34339292896461
275,10.650850642427715
276,10.56295909575391
277,10.979537471542207
278,11.711350142065553
279,11.756791718857974
280,11.672365204504668
281,10.9970456154328
282,10.497800014869465
283,10.362439425243506
284,10.505708870259621
285,10.356846364449181
286,8.85748188571771
287,9.481201388753034
288,9.976299291792609
289,9.740034449446071
290,9.119959747911405
291,8.487926294314281
292,8.379190929412642
293,10.985983181605688
294,11.251179517951403
295,11.500883234636424
296,11.89604425535321
297,11.488832233309136
298,8.510576627255086
299,8.623555995063768
300,8.63620106370088
301,8.917403335371871
302,9.306633099991972
303,9.754613178385856
304,10.45989881637176
305,11.156275377102379
306,11.439879688641808
307,11.50182642872717
308,11.57720156883431
309,11.809632907597186
310,11.449841062850416
311,11.792648657182808
312,11.798589022359527
313,11.527766030998489
314,11.167199792387688
315,10.784597098554068
316,10.418382085704266
317,9.723159050878902
318,8.960155632107067
319,8.354770081305388
320,7.97697743373487
321,7.629380648210679
322,5.898026191596611
323,6.228121378259817
324,6.88713361442404
325,8.007980059345549
326,8.143954139639009
327,8.638649679136503
328,7.9532344770301195
329,8.707019348453244
330,8.252894100088954
331,7.174640271784262
332,6.2750162789359125
333,5.723362822782578
334,5.291977671802232
335,3.8986000826239704
336,3.1358816758969965
337,2.3392680035421223
338,1.7551195791824024
339,1.122909302731455
340,0.6585052143768747
341,0.5338497032436348
342,1.016583027547601
343,2.206628905359552
344,3.500751976381726
345,4.851820963456005
346,4.136758146862456
347,3.793574029906439
348,4.910837371845712
349,6.915919369626403
350,8.679296475040518
351,10.131870794658743
352,11.50093120706765
353,12.401110278183273
354,12.737684176701
355,12.862601873120026
356,13.313389586754326
357,12.855886342881469
358,15.428254607004689
359,12.224222504674389
360,12.97566356089455
361,13.935181744700753
362,14.75428834751571
363,15.303378590126751
364,14.708172297884497
365,15.035319762022302
366,16.260289675052505
367,17.23814598132656
368,17.542238177287032
369,17.378211137231595
370,17.23194329540003
371,16.77962635110113
372,16.618331752655426
373,17.00188891974569
374,17.208369459244786
375,17.07415185342321
376,16.776791497613104
377,15.92413012191692
378,15.330472941009313
379,15.313315148704175
380,15.178895202883664
381,15.022911193033114
382,13.485306328170484
383,12.37035663836606
384,12.396606778313025
385,11.927363618304867
386,12.303884276451463
387,13.490262552391663
388,13.456936753111346
389,13.513748809238303
390,14.77128076090293
391,14.896404428277465
392,15.363470985721522
393,16.027405589086708
394,13.248884846124206
395,13.713916343233
396,14.15370566135359
397,14.262806197367093
398,13.785603165792734
399,13.483054433631766
400,13.734966745110157
401,13.895571418947542
402,14.08571996015075
403,14.35977128899443
404,14.44728509089307
405,14.411939007375453
406,10.817962888605049
407,11.122718215223493
408,10.995906626163714
409,10.607839317916948
410,9.744528327878031
411,9.233119111505621
412,9.045472577177888
413,8.749905420987679
414,8.526570496500257
415,8.179801755192825
416,7.631521978749656
417,6.913235253730027
418,5.424563741103581
419,4.157729877071479
420,3.061933394869119
421,2.2717530793528122
422,1.963526244030881
423,1.9093749474661952
424,1.8084795576852526
425,1.7438232680471328
426,1.2107236585094563
427,0.8280144229738117
428,1.0222500243582908
429,1.7336582454834673
430,2.772292535355227
431,3.697298686644684
432,4.344756994906158
433,4.850948674675687
434,5.0882569573601115
435,5.730791407208475
436,6.002541072028932
437,6.0870561610439475
438,6.276739141413532
439,6.2239856837565615
440,5.793213325532825
441,6.165387886486678
442,5.673752929176752
443,6.575011969508759
444,6.858383915606208
445,7.930475990703587
446,7.726527062437858
447,7.284479342708667
448,7.450062165006024
449,7.469371462778583
450,8.126643377972725
451,8.214069065454314
452,8.470198212855589
453,9.0204770726955
454,7.736013818120399
455,7.23991215245596
456,8.045013042426957
457,9.370749827868456
458,9.616515615278043
459,10.201478788168092
460,11.638916227577942
461,12.656477142342144
462,12.871622805299786
463,12.248089694992386
464,11.9867911108626
465,11.853577926026894
466,9.647916673065533
467,10.70544194241565
