,Jun
0,7.327877425293401
1,8.177024876706051
2,9.204078064321138
3,9.421037772695211
4,9.446782883822365
5,9.512888265663067
6,10.007961544706939
7,9.821898520739989
8,9.823845691398311
9,9.36606906163408
10,8.80682534146208
11,7.879003573138295
12,7.555931676748178
13,7.353958994320503
14,7.244185234863719
15,6.680441993930142
16,6.248616047453654
17,5.789484417595368
18,5.448973921355887
19,4.977041494342955
20,3.754411390498072
21,3.144059911159328
22,1.7159196961996594
23,2.3005619815866747
24,3.7432926107647697
25,4.825504270396422
26,5.4036958607003935
27,5.629913965366202
28,6.076868773748162
29,6.6150506598050836
30,6.5032011140744315
31,5.4246637534425854
32,5.357031941436395
33,4.64843761810415
34,3.6212547225195224
35,4.070124868906965
36,5.585219485007899
37,6.00354280462244
38,6.150503308231985
39,8.288553022039801
40,9.831964821259941
41,9.036786291090499
42,9.523114935181297
43,10.666191620212524
44,11.609896195455539
45,11.746229335359102
46,9.22810094271514
47,9.570831650893881
48,9.698714834629008
49,10.376285347791393
50,10.804807024269788
51,11.190077660701363
52,11.251397477208915
53,11.135383705323397
54,11.430356921201362
55,11.973725192353557
56,12.028143013627393
57,12.171603697290177
58,10.724828158472517
59,10.562885504355087
60,10.733272483952877
61,10.47428174509209
62,9.659844117762004
63,9.077553836596094
64,9.57420928482769
65,9.10761098795776
66,8.728773180247675
67,8.814003103410355
68,8.775103417694352
69,8.306136713548192
70,6.947994865612313
71,7.966712475833387
72,8.612760381544225
73,8.965497595246712
74,9.160321297656697
75,9.99334621079115
76,10.247490333384922
77,10.531539450145099
78,10.836951951477833
79,10.626031170503277
80,10.262568353933716
81,11.16933869428578
82,9.008945298999816
83,9.023804383444734
84,9.215838859805752
85,9.377700591247969
86,9.185948152178508
87,9.495331257234401
88,9.366394161924898
89,8.532406216208559
90,8.419981380301365
91,8.85492100439271
92,8.890447530032445
93,9.454815930334492
94,8.566601986737924
95,9.266713978177636
96,8.614212946449422
97,7.311719975062772
98,7.2603731681006325
99,7.651640462857988
100,7.660754075151365
101,7.841689998965604
102,8.035365709375691
103,8.012887876463004
