,Jul
0,2.035560057315991
1,1.3787269069284567
2,2.6283607784202454
3,4.035462576271882
4,4.872590432860223
5,5.191379970793383
6,5.252311933436002
7,5.314235625573436
8,5.158712914887648
9,5.090780419048647
10,4.273776843710767
11,4.330441313694536
12,4.309311430541821
13,3.970233024449116
14,3.569324477564857
15,3.582752305324044
16,4.162544582317776
17,5.036737351746714
18,5.17958605109778
19,5.283471378922619
20,5.422176104708182
21,5.125315623717486
22,3.6718668739450138
23,2.7064221332942315
24,2.0999992195362687
25,2.1688053223884656
26,2.522905691555732
27,2.8756687304765944
28,2.6074908679543567
29,2.49218009333753
30,2.5259169149147676
31,2.2928560408184007
32,2.0223923553757928
33,2.3046215641631056
34,1.6664409745380788
35,1.767701486797807
36,1.639473220608854
37,2.001013890949296
38,3.1220616343174323
39,5.209215766393433
40,7.891079644664
41,9.75389566472026
42,9.680761156474004
43,8.907839406911398
44,10.219566506796559
45,10.856222827970344
46,10.678921173477356
47,11.117711105480097
48,11.607858278182034
49,10.576369038648878
50,7.332705951111034
51,4.557142900589989
52,1.479920252605006
53,2.8450919182520957
54,4.317594452030755
55,5.51309487991908
56,5.868795717947723
57,5.623989000799291
58,6.990510936116848
59,7.0980086600755925
60,7.14465035728605
61,7.86380436695649
62,8.367251024292512
63,8.047435865464045
64,7.980433910618481
65,7.92410932185595
66,7.782460336553315
67,7.6260395553562965
68,7.715646891088019
69,7.86307858113688
70,9.003251245009823
71,9.197233702503842
72,9.436695130081215
73,9.765279429421014
74,9.821462794763987
75,10.129400883764193
76,10.255104680644306
77,10.540119447899643
78,10.362706337020004
79,9.657516807364372
80,8.504703770526012
81,7.624933436777427
82,7.471819608704651
83,7.247143021624998
84,6.4082866443214055
85,5.875625670212386
86,5.609998698375028
87,5.690550163946524
88,5.8018825280923245
89,5.95672074547962
90,6.2661589143527685
91,6.374748994661714
92,6.8125895442322415
93,7.157487621009331
94,7.552985227639145
95,7.908414810159467
96,8.137216393555237
97,8.309725531014346
98,8.199776325826916
99,8.329217890441976
100,8.137863556716084
101,8.14185267892192
102,8.337520274939237
103,8.130406624515624
104,7.805326401459669
105,7.428025587635281
106,7.7117420079473264
107,7.6873693568685955
108,6.358462795997309
109,5.27965467564123
110,5.083335620466085
111,5.349613212193777
112,4.87451322690801
113,4.118062902326099
114,3.7603468668215068
115,3.692338728798328
116,3.925587110342832
117,4.0627841235051045
118,2.072958207336674
119,2.926996425923137
120,3.2380591108249503
121,4.275634272892259
122,5.150771542752756
123,5.446122916289209
124,6.3449377906904525
125,7.3487341041154
126,8.05032816484288
127,6.773167855924733
128,4.439717230946463
129,4.320052238548105
130,2.366273452786487
131,4.296184363681697
132,5.008156228203951
133,4.6143915614422255
134,3.5291635855133556
135,2.5596754055322513
136,1.8322563391050213
137,3.4494704851985487
138,3.708478717331295
139,4.1905966355335575
140,4.959475218381765
141,5.253360568938894
142,6.428203112796055
143,6.259559788326913
144,5.814145675230528
145,5.119660914418307
146,3.6527335664421656
147,2.5594442992920574
148,1.8183053393548236
149,1.70002615483491
150,2.7006585335099147
151,4.28412578964251
152,5.987368947879354
153,6.1435601416319665
154,5.011779233937404
155,4.025245479425299
156,2.9123016501181374
157,2.7499333248293003
158,2.016567571549069
159,2.4926596022510585
160,4.963833648055452
161,6.610270800295463
162,6.949740972416531
163,6.297348451472151
164,6.120719363920372
165,5.734748821985753
166,4.290232160888492
167,3.596703966107378
168,3.6085067159485344
169,4.721167531144213
170,5.636920548338646
171,5.74278619382995
172,4.770071656708405
173,4.3233953548325665
174,3.496573040134509
175,3.1860820922984567
176,3.5150865434649137
177,4.217265482987029
178,3.0012038148427576
179,3.231525121662835
180,3.054113854669871
181,2.310052413559588
182,2.868425122909125
183,4.0939759874018025
184,4.961006524936565
185,5.1204421824187465
186,4.467904932351417
187,4.354441337166199
188,5.937809012170865
189,8.863499364086087
190,8.087146660738664
191,7.513040129947197
192,9.034383355346357
193,12.31356368726445
194,12.654543077904599
195,12.549422022255383
196,13.55261744271088
197,13.544566207651108
198,14.083744235560983
199,14.341129403914339
200,15.004091125585543
201,15.736920477034992
202,11.528514786981406
203,10.896075427145275
204,11.414541970464661
205,13.532091280632766
206,14.80616155533562
207,15.109520693063548
208,14.536531236178636
209,14.127830996856197
210,13.810442790521712
211,12.679445875223749
212,11.267909542760316
213,10.447418733203179
214,8.803543104546321
215,9.812395197161598
216,11.096692550076936
217,11.045824458998858
218,10.57394219176998
219,9.92940269953702
220,9.404155790590986
221,8.949394646244398
222,8.157049668939903
223,7.158638294230662
224,5.989505456776603
225,3.6537673631679586
226,1.8201579896124467
227,0.27907852410081463
228,0.8381831605638626
229,1.978318108348949
230,2.3172300990838037
231,2.4910160862963364
232,2.347981687429907
233,2.6370926836815216
234,3.7601820219569904
235,5.271487697502956
236,6.738021937381798
237,6.902944448331227
238,6.176130044063633
239,6.510530614175781
240,6.860990484165371
241,7.534922357964117
242,7.338059838875702
243,7.527091140371336
244,8.008097417807761
245,7.877461510306243
246,7.71113163735786
247,7.081427886817449
248,6.637545029764467
249,7.31999733116127
250,7.426482027208358
251,8.529091130030675
252,9.926950997719375
253,10.836775135301723
254,10.821921660099546
255,10.392921893781777
256,9.24323923124778
257,7.778880934851534
258,6.6815150350384584
